,company,location,salary,title
0,    MD Anderson Cancer Center,"Houston, TX","$76,400 - $114,600 a year",Computational Scientist
20,    Rice University,"Houston, TX","$40,800 - $79,100 a year",Research Scientist
24,    Baylor College of Medicine,"Houston, TX","$43,794 a year",Quality Assurance Analyst (Research)
25,    MD Anderson Cancer Center,"Houston, TX","$66,400 - $99,600 a year",Research Statistical Analyst - Biostatistics
26,    MD Anderson Cancer Center,"Houston, TX","$66,400 - $99,600 a year",Research Statistical Analyst
28,    MD Anderson Cancer Center,"Houston, TX","$45,500 - $82,000 a year",Research Admin Analyst
32,    MD Anderson Cancer Center,"Houston, TX","$66,400 - $99,600 a year",Research Statistical Analyst -Bioinformatics & Computational...
35,    MD Anderson Cancer Center,"Houston, TX","$42,400 - $63,600 a year",Data Analyst- Immunology
74,    MD Anderson Cancer Center,"Houston, TX","$51,600 - $77,400 a year",Research Scientist - Neuro-Oncology - Research
75,    MD Anderson Cancer Center,"Houston, TX","$51,600 - $77,400 a year",Research Scientist - Thoracic H&N Med Oncology - Research
79,    MD Anderson Cancer Center,"Houston, TX","$46,500 - $83,000 a year",Institute Associate Scientist II – Protein Production
85,    MD Anderson Cancer Center,"Houston, TX","$51,600 - $77,400 a year","Research Scientist, Experimental Radiation Oncology"
89,    MD Anderson Cancer Center,"Houston, TX","$46,500 - $83,000 a year",Institute Associate Scientist II - In Vivo Pharmacology
95,    MD Anderson Cancer Center,"Houston, TX","$25,200 - $51,500 a year",Institute Associate Scientist I – Medicinal Chemistry
102,"    Earl Carl Institute for Legal & Social Policy, Inc...","Houston, TX","$20,000 - $25,000 a year",Part Time Academic Research and Writing Policy Analyst Posit...
106,    MD Anderson Cancer Center,"Houston, TX","$62,500 - $94,000 a year",Institute Assoc Scientist III - Neurodegeneration Consort
121,    MD Anderson Cancer Center,"Houston, TX","$66,400 - $99,600 a year","Research Programmer - Genetics, next generation sequencing (..."
147,    MD Anderson Cancer Center,"Houston, TX","$125,000 - $187,000 a year","Principal Institute Research Scientist - Drug Discovery, Bio..."
156,    The University of Texas Medical Branch,"League City, TX","$53,600 - $80,400 a year",Medical Lab Scientist
175,    MD Anderson Cancer Center,"Houston, TX","$95,000 - $142,000 a year",Institute Research Scientist - Translational Biology
4493,    3GIMBALS,"Washington, DC","$80,000 - $120,000 a year",Data Scientist
4494,    Metropolitan Police Department,"Washington, DC","$76,082 - $97,340 a year",Data Scientist
4512,    Central Intelligence Agency,"Washington, DC","$62,338 - $119,794 a year",Data Scientist
4528,    Piper Companies,"Reston, VA 20190","$200,000 - $220,000 a year",Data Scientist
4548,    Interface Financial Group (IFG),"Bethesda, MD","$120,000 a year",IFG Data Scientist Whiz!
4554,    National Geospatial-Intelligence Agency,"Springfield, VA","$52,329 - $129,553 a year",Data Scientist
4617,"    Innovative, Information, and Intelligence Solution...","Bethesda, MD","$145,000 - $160,000 a year",Data Scientist TS/SCI with CI Poly
4639,    National Security Agency,"Fort Meade, MD","$79,334 - $105,663 a year",Data Scientist - Mid-Level
4645,    Piper Companies,"Reston, VA 20190","$190,000 - $200,000 a year",Senior Data Engineer
4652,    Robert Walters,"Washington, DC","$80,000 - $100,000 a year",Data Scientist
4653,    Georgetown University Medical Center,"Washington, DC 20007 (Georgetown area)","$55,000 - $70,000 a year",Research Fellow - Quality of Medical Products
4654,    U.S. Federal Government,"Bethesda, MD","$54,972 - $103,639 a year",Statistician (Health) DEU
4701,    Natural Resources Defense Council,"Washington, DC",$15 an hour,Facilities Intern
4717,    Department of Health And Human Services,"Rockville, MD","$79,720 - $123,234 a year",Staff Fellow (Mathematical Statistician)
4725,"    Eagle Technologies, Incorporated","Arlington, VA 22209 (Radnor-Ft Myer Heights area)","$50,000 - $89,000 a year",Data/Research Analyst
4742,    Compri,"Washington, DC 20036 (Downtown area)","$110,000 a year","Data Scientist, Machine Learning (Perm - DC)"
4750,    PeopleTek,"Bethesda, MD","$65,000 - $75,000 a year",Statistical Data Analyst (US Citizen)
4802,    Venturi Ltd,"Washington, DC 20007 (Georgetown area)","$90,000 - $125,000 a year",Data Scientist ( Chinese Speaking / Deep Learning / NLP / AI...
4814,    Department of Commerce,"Washington, DC 20230 (Downtown area)","$79,720 - $123,234 a year","Interdisciplinary, GS-0101,0180,0801,1550-12/13, Census-DE-S..."
4842,    Legislative Branch,"Washington, DC","$124,406 - $187,000 a year","Executive Director, U.S. Botanic Garden (Supervisory Horticu..."
