,company,location,salary,summary,title,float_salary
5,    State of Tennessee,"Davidson County, TN","$3,205 a month","DEPARTMENT OF HEALTH, HEALTH RELATED BOARDS DIVISION, DAVIDSON COUNTY. An employee in this class writes complex programs to obtain statistical data and reports....",STATISTICAL PROGRAMMER SPEC 2-071917-16,38460.0
14,    LP Environmental,"Nashville, TN 37220","$50,000 - $100,000 a year","Office work would include proposals, scopes of work, health and safety plans, coordination of contractors and equipment, data entry, report drafting, and figure...",Environmental Consultant,75000.0
43,    The CSI Companies,"Franklin, TN 37067",$12 - $14 an hour,Jcoviello@thecsicompanies.com Copy and Paste the following job title and code and place it in the subject line of your email so we can identify the job:....,Medical Records Research Analyst,27040.0
3160,    Apex Life Sciences,"Fort Worth, TX",$21 - $24 an hour,Lead and manage all assigned project activities related to sterile primary package development and participate in project and functional unit teams....,Packaging Scientist,46800.0
3163,    Texas Tech Univ Health Sciences Ctr,"Dallas-Fort Worth, TX","$4,000 a month","Assist with all aspects of data collection. Project partners, and ensuring compliance with all regulations and requirements....",HSC Sr Research Scientist,48000.0
3207,    Cottonwood Financial,"Irving, TX 75038","$120,000 a year","Work closely with the Director of Marketing and Marketing Campaign Manager to profitably manage Direct Mail campaigns by monitoring trends, extracting and...",DIRECTOR OF MARKETING ANALYTICS,120000.0
7692,    Creospan Solutions,"Northbrook, IL",$80 - $100 an hour,"This includes development and execution of machine learning predictive modeling algorithms, the coding/development of tools that use machine learning/predictive...",Data Scientist,187200.0
7696,    Enterprise Select,"Chicago, IL 60601 (Loop area)","$125,000 a year","We are currently looking for an experienced Data Scientist to join their Digital Analytics team. Strong analytical expertise, data manipulation skills and...",Data Scientist – Marketing Analytics,125000.0
7715,    Illinois Criminal Justice Information Authority,"Chicago, IL","$55,000 - $60,000 a year",Produce analyses of crime trends and provide data management support for the Center’s data archive function; Assist in the development of appropriate and sound...,Research Analyst,57500.0
7716,    ICJIA,"Chicago, IL 60606 (Loop area)","$55,000 - $60,000 a year","(3) analyzing qualitative and quantitative data, using statistical software when appropriate; Ability to analyze qualitative and quantitative data using...",Research Analyst,57500.0
7750,    Workbridge Associates,"Chicago, IL",$65 an hour,"The ideal candidate will have a strong sense of predictive modeling or machine learning experience and has been hands on using Python, R, Hadoop, Spark, and...",Data Scientist,135200.0
7779,    Smith Hanley Associates,"Chicago, IL","$80,000 - $130,000 a year","Prominent Chicago area company is hiring Data Scientists:. Responsibilities include data sourcing, hypothesis generation, text mining, and machine learning to...",Data Scientist,105000.0
7800,    Workbridge Associates,"Chicago, IL","$140,000 a year","The ideal candidate will have a strong sense of predictive modeling or machine learning experience and has been hands on using Python, R, Hadoop, Spark, and...",Lead Data Scientist,140000.0
7817,    Workbridge Associates,"Chicago, IL","$100,000 - $150,000 a year",5 years of machine learning/predictive analytics experience. A leading provider of healthcare insurance across the country is growing out their analytics...,Lead Data Scientist (Deep Learning),125000.0
7841,    Workbridge Associates,"Chicago, IL",$45 - $80 an hour,"Experience with Machine Learning, Predictive Modeling, Statistics/Data Mining with both structured and unstructured data....",Data Engineer Contractor,130000.0
7852,    Jobspring Partners,"Chicago, IL","$70,000 - $80,000 a year",A voice recognition company is hiring for a Data Scientist passionate about scripting in Python and using Machine Learning libraries to provide insights....,Data Scientist,75000.0
7863,    Jobspring Partners,"Chicago, IL","$70,000 - $80,000 a year","Located in downtown Chicago, this company is looking for a Data Scientist/Engineer who has strong Python skills and has experience with Machine Learning....",Data Scientist/Engineer,75000.0
7875,    Duo Data Services,"Chicago, IL","$120,000 - $160,000 a year","Takes responsibility for the quality and timeliness of project deliverables, as assessed by stakeholders such as the project team, the clinical trial team, and...","Associate Director, Statistics",140000.0
7877,    All-In Analytics,"Chicago, IL","$100,000 - $140,000 a year","Lead Machine Learning Data Scientist. DATA SCIENTIST LEAD-Visualization. Requires MA/MS in Statistics, Computer Science, Mathematics, Machine Learning,...",Lead Machine Learning Data Scientist,120000.0
